Plot_Min_Witdh,Plot_Count,Build_Min_Depth,Build_Max_Depth,Build_Min_Heigth,Build_Max_Heigth,Building_Volume,Building_Area,Green_Area,Average_FAR,Average_Build_Heigth,Gross_area,Radiation_Min,Radiation_Total,Green_Comfort,Energy_Balance
23.5672874147,12,18.896985935,87.1013719482,33.4239607398,69.7094246732,905684.79,19016.0969659672,2294.836550615,45.3022808237,49.2876140284,905684.79,6.75,9020,0.1443,-3999265.33
23.5943168256,12,18.9205872986,87.0745756441,33.4653024109,70.0183679492,861633.61,18218.4983504778,3092.4351661045,41.2936832757,49.4459485286,861633.61,3.75,8766.75,0.2020,-3738010.46
23.617753988,12,18.9368059317,87.0295700464,33.5032027771,70.3180180781,849853.68,17747.62324049,3563.3102760922,42.8014584438,49.5982833551,849853.68,6.75,8293.25,0.2353,-3803102.11
23.639693171,12,18.9528864748,86.9413518115,33.5204452096,70.6100596634,974329.64,20143.4627524012,1167.470764181,48.3575212219,49.7356653149,974329.64,6.75,9489.25,0.0701,-4464418.91
23.6585199795,12,18.9637910125,86.8504749905,33.5388140793,70.8730551054,762944.57,15490.4977677389,5820.4357488433,40.7979186876,49.860982552,762944.57,6.75,6987,0.2157,-3642095.96
23.6789810819,12,18.9687660234,86.7265028942,33.5431234172,71.1035395446,820954.33,16725.5559574256,4585.3775591566,41.5393792289,49.9641734529,820954.33,6.75,7904,0.2287,-3890771.79
23.7045238961,12,18.9699629283,86.5458905925,33.5217261352,71.2954725979,920935.41,18891.278770232,2419.6547463502,45.6453366373,50.0360421268,920935.41,6.75,8859,0.1369,-4296531.09
23.739134395,12,18.965273474,86.3340942072,33.4846055365,71.4229590906,954465.59,19704.9494663957,1605.9840501866,47.109974356,50.0708861536,954465.59,6.25,9280.25,0.2272,-4388804.20
23.8084731207,12,18.9763543091,86.4062798943,33.5662074491,71.7594204692,975665.63,20228.1074168212,1082.826099761,46.9639569249,50.2639101556,975665.63,7,9569.5,0.1914,-4441959.12
23.8877518748,12,19.0037657556,86.7438774446,33.7383175226,72.2662734043,974613.23,19953.071394687,1357.8621218953,47.5842369404,50.5823665651,974613.23,6,9408,0.2079,-4567707.79
23.9957669975,12,19.0263212107,87.0142933783,33.8769670454,72.7024063377,879952.17,18059.6048845027,3251.3286320796,44.2924662241,50.851072953,879952.17,6.75,8590.25,0.1794,-4101900.83
24.1400203894,12,19.0448591882,87.2521145548,33.996930183,73.0680853032,968886.28,19565.4373345555,1745.4961820267,48.5792116132,51.0784606699,968886.28,6.75,9058.5,0.1354,-4681447.29
24.3261918315,12,19.0609723215,87.4490665607,34.0952897993,73.3939208417,972034.59,19626.1368953955,1684.7966211868,47.4817406758,51.2762705556,972034.59,6.75,9376.25,0.2429,-4697410.63
24.5587063602,12,19.0766882287,87.6597598037,34.1973153261,73.7115529389,965073.03,19837.208567107,1473.7249494753,45.9904950995,51.4725571861,965073.03,6.75,9505.5,0.3355,-4482421.08
24.8409179347,12,19.0953172459,87.8993292224,34.3118012391,74.082866901,860796.83,16992.9511760447,4317.9823405375,42.4029266295,51.699325834,860796.83,7.25,7987,0.2622,-4361094.11
25.176700204,12,19.1206141332,88.244764704,34.4747285657,74.5688528382,943181.13,18379.002572731,2931.9309438512,48.2438154261,52.0034912552,943181.13,6.75,8654.25,0.1348,-4903285.07
25.5702443247,12,19.1570965583,88.7299352694,34.7035922892,75.2524319089,870732.59,16989.0522927371,4321.8812238451,44.0909591798,52.4311521231,870732.59,6.5,7867.25,0.1757,-4514585.29
26.0297463907,12,19.2099332848,89.4458013109,35.0406667805,76.2155468905,813730.02,15704.7185818041,5606.2149347781,41.4194639599,53.0419254515,813730.02,6.5,7389.75,0.2597,-4308283.89
26.5659268403,12,19.2850109095,90.4505018135,35.5141693233,77.5631310649,940495.36,17688.0431258234,3622.8903907588,48.0492998838,53.8975680154,940495.36,6.25,8309.5,0.2270,-5220168.44
27.1970381029,12,19.3897402737,91.8547198174,36.1753927879,79.416458818,1032637.45,19016.9054959301,2294.0280206522,52.1780149973,55.0799679255,1032637.45,6.25,8820.75,0.1044,-5940416.19
27.9488807558,12,19.5336747469,93.7749384611,37.0788903583,81.938352084,1186104.58,19962.7326460717,1348.2008705105,54.3459890697,56.7407775234,1186104.58,3.25,9027.25,0.1363,-7798649.40
28.8619707443,12,19.7303057569,96.3972844005,38.3108402368,85.3531091718,1110976.92,18500.2720733913,2810.6614431909,52.7304717727,58.9294510762,1110976.92,3,8302.5,0.1459,-7407758.96
29.385062972,12,19.8483955031,97.9728481067,39.0505139382,87.3967200019,1137275.50,18288.5073319929,3022.4261845894,52.8057404294,60.2406399877,1137275.50,3.75,8204,0.2770,-7919927.80
28.9157011461,12,19.7224778487,96.2850473483,38.2619902351,85.2510288499,1198216.46,19870.9884732544,1439.9450433279,55.73258347,58.8572702428,1198216.46,3,8693.75,0.2264,-8031339.58
